date,count
2015-02-13,263437
2015-02-14,155824
2015-02-15,159011
2015-02-16,265059
2015-02-17,302746
2015-02-18,332511
2015-02-19,337161
2015-02-20,261482
2015-02-21,196860
2015-02-22,200460
2015-02-23,321280
2015-02-24,357946
2015-02-25,363959
2015-02-26,426655
2015-02-27,290674
2015-02-28,192612
2015-03-01,205135
2015-03-02,324429
2015-03-03,390541
2015-03-04,367826
2015-03-05,299499
2015-03-06,289606
2015-03-07,220802
2015-03-08,191514
2015-03-09,424308
2015-03-10,479895
2015-03-11,358512
2015-03-12,429236
2015-03-13,370666
2015-03-14,230702
2015-03-15,204107
2015-03-16,327364
2015-03-17,368760
2015-03-18,371888
2015-03-19,325466
2015-03-20,301489
2015-03-21,242707
2015-03-22,253142
2015-03-23,334698
2015-03-24,333755
2015-03-25,442022
2015-03-26,330370
2015-03-27,292922
2015-03-28,214830
2015-03-29,220653
2015-03-30,348934
2015-03-31,442082
2015-04-01,502735
2015-04-02,352663
2015-04-03,257902
2015-04-04,208812
2015-04-05,207179
2015-04-06,287571
2015-04-07,391999
2015-04-08,401090
2015-04-09,425238
2015-04-10,339459
2015-04-11,287019
2015-04-12,264399
2015-04-13,405587
2015-04-14,399620
2015-04-15,423810
2015-04-16,364533
2015-04-17,350248
2015-04-18,381068
2015-04-19,320951
2015-04-20,590514
2015-04-21,537559
2015-04-22,461103
2015-04-23,463602
2015-04-24,444393
2015-04-25,319967
2015-04-26,261541
2015-04-27,420828
2015-04-28,391824
2015-04-29,385941
2015-04-30,425306
2015-05-01,277160
2015-05-02,211458
2015-05-03,253502
2015-05-04,389516
2015-05-05,418476
2015-05-06,395385
2015-05-07,443298
2015-05-08,375280
2015-05-09,275604
2015-05-10,266569
2015-05-11,456720
2015-05-12,447018
2015-05-13,430855
2015-05-14,398892
2015-05-15,419288
2015-05-16,271124
2015-05-17,234323
2015-05-18,385655
2015-05-19,422488
2015-05-20,418e3
2015-05-21,400927
2015-05-22,300865
2015-05-23,295082
2015-05-24,206168
2015-05-25,278943
2015-05-26,375681
2015-05-27,355614
2015-05-28,357355
2015-05-29,296825
2015-05-30,239830
2015-05-31,213778
2015-06-01,369697
2015-06-02,367222
2015-06-03,373301
2015-06-04,362989
2015-06-05,339187
2015-06-06,255870
2015-06-07,253645
2015-06-08,435197
2015-06-09,392005
2015-06-10,474001
2015-06-11,427405
2015-06-12,376936
2015-06-13,294443
2015-06-14,252347
2015-06-15,428168
2015-06-16,400818
2015-06-17,442616
2015-06-18,368173
2015-06-19,437604
2015-06-20,275259
2015-06-21,231687
2015-06-22,389647
2015-06-23,499038
2015-06-24,429712
2015-06-25,430127
2015-06-26,344442
2015-06-27,256748
2015-06-28,251791
2015-06-29,450885
2015-06-30,435949
2015-07-01,433301
2015-07-02,402954
2015-07-03,293601
2015-07-04,238189
2015-07-05,241832
2015-07-06,477485
2015-07-07,523235
2015-07-08,421281
2015-07-09,416058
2015-07-10,361030
2015-07-11,203331
2015-07-12,190392
2015-07-13,323891
2015-07-14,361038
2015-07-15,394198
2015-07-16,365691
2015-07-17,318079
2015-07-18,242693
2015-07-19,229277
2015-07-20,393883
2015-07-21,377063
2015-07-22,342425
2015-07-23,346116
2015-07-24,383373
2015-07-25,274520
2015-07-26,231927
2015-07-27,352580
2015-07-28,354130
2015-07-29,346970
2015-07-30,379543
2015-07-31,305513
2015-08-01,220572
2015-08-02,154147
2015-08-03,350770
2015-08-04,615812
2015-08-05,390272
2015-08-06,382593
2015-08-07,334177
2015-08-08,324069
2015-08-09,208779
2015-08-10,368325
2015-08-11,367388
2015-08-12,421128
2015-08-13,336571
2015-08-14,320819
2015-08-15,258970
2015-08-16,256436
2015-08-17,398260
2015-08-18,442668
2015-08-19,419257
2015-08-20,397922
2015-08-21,348412
2015-08-22,351265
2015-08-23,0
2015-08-24,435893
2015-08-25,1015625
2015-08-26,717049
2015-08-27,439379
2015-08-28,351638
2015-08-29,260996
2015-08-30,242263
2015-08-31,445972
2015-09-01,567202
2015-09-02,537726
2015-09-03,518263
2015-09-04,491333
2015-09-05,263511
2015-09-06,338278
2015-09-07,0
2015-09-08,546249
2015-09-09,0
2015-09-10,562729
2015-09-11,474663
2015-09-12,329373
2015-09-13,284108
2015-09-14,572636
2015-09-15,539014
2015-09-16,534373
2015-09-17,498504
2015-09-18,538187
2015-09-19,306864
2015-09-20,309012
2015-09-21,527209
2015-09-22,509486
2015-09-23,545769
2015-09-24,489359
2015-09-25,515755
2015-09-26,301882
2015-09-27,240549
2015-09-28,472510
2015-09-29,545160
2015-09-30,488868
2015-10-01,505521
2015-10-02,503633
2015-10-03,304997
2015-10-04,299736
2015-10-05,631057
2015-10-06,543086
2015-10-07,617593
2015-10-08,594416
2015-10-09,479618
2015-10-10,302112
2015-10-11,347326
2015-10-12,572643
2015-10-13,622661
2015-10-14,590101
2015-10-15,623460
2015-10-16,561027
2015-10-17,336533
2015-10-18,0
2015-10-19,590127
2015-10-20,579928
2015-10-21,560266
2015-10-22,538841
2015-10-23,485298
2015-10-24,301885
2015-10-25,338243
2015-10-26,0
2015-10-27,566077
2015-10-28,539404
2015-10-29,530879
2015-10-30,525490
2015-10-31,0
2015-11-01,0
2015-11-02,606692
2015-11-03,650535
2015-11-04,580111
2015-11-05,575223
2015-11-06,528868
2015-11-07,423297
2015-11-08,251660
2015-11-09,578893
2015-11-10,652743
2015-11-11,613441
2015-11-12,696530
2015-11-13,506089
2015-11-14,375148
2015-11-15,0
2015-11-16,537598
2015-11-17,582052
2015-11-18,626181
2015-11-19,651228
2015-11-20,512243
2015-11-21,443700
2015-11-22,375737
2015-11-23,598842
2015-11-24,749059
2015-11-25,872277
2015-11-26,882950
2015-11-27,651621
2015-11-28,543322
2015-11-29,648761
2015-11-30,699306
2015-12-01,655976
2015-12-02,560133
2015-12-03,544426
2015-12-04,557194
2015-12-05,381751
2015-12-06,302775
2015-12-07,535698
2015-12-08,629947
2015-12-09,530199
2015-12-10,595317
2015-12-11,716194
2015-12-12,421969
2015-12-13,328637
2015-12-14,531592
2015-12-15,637174
2015-12-16,786099
2015-12-17,712431
2015-12-18,668760
2015-12-19,504207
2015-12-20,522464
2015-12-21,691342
2015-12-22,481241
2015-12-23,384367
2015-12-24,263712
2015-12-25,181759
2015-12-26,203819
2015-12-27,209037
2015-12-28,351825
2015-12-29,361992
2015-12-30,315079
2015-12-31,200501
2016-01-01,207474
2016-01-02,220584
2016-01-03,197271
2016-01-04,474504
2016-01-05,493001
2016-01-06,560215
2016-01-07,539519
2016-01-08,491175
2016-01-09,281604
2016-01-10,276822
2016-01-11,501385
2016-01-12,611930
2016-01-13,586316
2016-01-14,574196
2016-01-15,497367
2016-01-16,369781
2016-01-17,277310
2016-01-18,541899
2016-01-19,704588
2016-01-20,680833
2016-01-21,657929
2016-01-22,564676
2016-01-23,334321
2016-01-24,336845
2016-01-25,672142
2016-01-26,610361
2016-01-27,802742
2016-01-28,682447
2016-01-29,576221
2016-01-30,303019
2016-01-31,318309
2016-02-01,586380
2016-02-02,611382
2016-02-03,0
2016-02-04,619982
2016-02-05,575734
2016-02-06,316515
2016-02-07,270090
2016-02-08,600214
2016-02-09,621825
2016-02-10,612289
2016-02-11,612359
2016-02-12,560577
2016-02-13,298729
2016-02-14,319459
2016-02-15,659327
2016-02-16,728900
2016-02-17,1020050
2016-02-18,859768
2016-02-19,622309
2016-02-20,332946
2016-02-21,350470
2016-02-22,648375
2016-02-23,649793
2016-02-24,632688
2016-02-25,679917
2016-02-26,606821
2016-02-27,341126
2016-02-28,346909
2016-02-29,610580
2016-03-01,706529
2016-03-02,846791
2016-03-03,715860
2016-03-04,642986
2016-03-05,334295
2016-03-06,331440
2016-03-07,592899
2016-03-08,630588
2016-03-09,600847
2016-03-10,619238
2016-03-11,558816
2016-03-12,320994
2016-03-13,291864
2016-03-14,552261
2016-03-15,601338
2016-03-16,581805
2016-03-17,579763
2016-03-18,563742
2016-03-19,334284
2016-03-20,311205
2016-03-21,564397
2016-03-22,602429
2016-03-23,543594
2016-03-24,476540
2016-03-25,353648
2016-03-26,257852
2016-03-27,287197
2016-03-28,469201
2016-03-29,580585
2016-03-30,656367
2016-03-31,601127
2016-04-01,539464
2016-04-02,307276
2016-04-03,293286
2016-04-04,525255
2016-04-05,608913
2016-04-06,609408
2016-04-07,609535
2016-04-08,530435
2016-04-09,314324
2016-04-10,329048
2016-04-11,616713
2016-04-12,662640
2016-04-13,592380
2016-04-14,614083
2016-04-15,495830
2016-04-16,296836
2016-04-17,323144
2016-04-18,601563
2016-04-19,596730
2016-04-20,616348
2016-04-21,611291
2016-04-22,512870
2016-04-23,336107
2016-04-24,301040
2016-04-25,584492
2016-04-26,657353
2016-04-27,621245
2016-04-28,563541
2016-04-29,484838
2016-04-30,278685
2016-05-01,292464
2016-05-02,544570
2016-05-03,624621
2016-05-04,709702
2016-05-05,648524
2016-05-06,561783
2016-05-07,345369
2016-05-08,319911
2016-05-09,707551
2016-05-10,772421
2016-05-11,722454
2016-05-12,740222
2016-05-13,634540
2016-05-14,382277
2016-05-15,381552
2016-05-16,676114
2016-05-17,711170
2016-05-18,730082
2016-05-19,713351
2016-05-20,635163
2016-05-21,371077
2016-05-22,373515
2016-05-23,674914
2016-05-24,726779
2016-05-25,750842
2016-05-26,712846
2016-05-27,622715
2016-05-28,360315
